article_id,source_id,source_name,author,title,description,url,url_to_image,published_at,published_at_parsed,content,article_type,category,title_length,description_length,content_length,estimated_word_count,has_image,has_author,published_year,published_month,published_day,published_hour,published_day_of_week,published_week,published_date,title_word_count,description_word_count,content_category,engagement_score,created_at,updated_at
-9174454801693670187,,Eurogamer.net,Ed Nightingale,"Just Cause developer Avalanche Studios closing UK studio in workforce restructure, following cancellation of Xbox exclusive Contraband - Eurogamer","Avalanche Studios is the latest developer to be impacted by layoffs, as the company's UK studio is set to be closed as part of a workforce restructure.",https://www.eurogamer.net/just-cause-developer-avalanche-studios-closing-uk-studio-in-workforce-restructure-following-cancellation-of-xbox-exclusive-contraband,https://assetsio.gnwcdn.com/just-cause-4_oHVylEr.png?width=1200&height=630&fit=crop&enable=upscale&auto=webp,2025-09-30T13:50:34Z,2025-09-30 13:50:34.000000,"Avalanche Studios is the latest developer to be impacted by layoffs, as the company's UK studio is set to be closed as part of a workforce restructure that will impact its Swedish studios too.
The s… [+2246 chars]",headlines,,146,151,214,38,1,1,2025,9,30,13,Tuesday,40,2025-09-30,19,27,Sports,100,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-9133716252248062400,,Rolling Stone,Oscar Hartzog,New Meta Ray-Ban Glasses Feature an In-Lens Display & AI-Powered Features,"Here’s where to buy the new Meta Ray-Ban Display glasses, plus details on their release date, price, and Neural Band control accessory.",http://www.rollingstone.com/product-recommendations/tech/meta-ray-ban-display-glasses-where-to-buy-specs-price-1235438234/,https://www.rollingstone.com/wp-content/uploads/2025/09/20250711_CoreLifestyleGardening3POV02_Meta_Ray-Ban_Display_Black_MetaAI_RGB_16x9.jpeg?w=1600&h=900&crop=1,2025-09-30T16:51:32Z,2025-09-30 16:51:32.000000,"If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may receive an affiliate commission.
Meta and Ray-Ban just launched the most advanced smart … [+1798 chars]",headlines,,73,135,214,34,1,1,2025,9,30,16,Tuesday,40,2025-09-30,11,22,AI,640,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-9100701542864677521,,OregonLive,James Crepea | The Oregonian/OregonLive,10 takeaways from No. 6 Oregon’s win over No. 3 Penn State - OregonLive.com,Top takeaways from Oregon's win at Penn State,https://www.oregonlive.com/ducks/2025/09/10-takeaways-from-no-6-oregons-win-over-no-3-penn-state.html,https://www.oregonlive.com/resizer/v2/VT4RFCLJCNASNB7FXFATHSWZVU.jpg?auth=2a46bb3094b5b3a8862b425f695837cee9027f18acb8bb53ec215e7abfbc2572&width=1280&smart=true&quality=90,2025-09-29T12:42:00Z,2025-09-29 12:42:00.000000,"No. 6 Oregon defeated No. 3 Penn State 30-24 in double overtime on Saturday at Beaver Stadium.
Here are 10 takeaways from the game as the Ducks (5-0, 2-0 Big Ten) enter a bye week before hosting No.… [+5620 chars]",headlines,,75,45,214,40,1,1,2025,9,29,12,Monday,40,2025-09-29,14,8,General,780,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-9073673594243540212,,SpaceNews,Debra Werner,Solstar wins NASA contract to develop lunar Wi-Fi systems - SpaceNews,Solstar wins NASA contract to develop lunar Wi-Fi systems,http://spacenews.com/solstar-wins-nasa-contract-to-develop-lunar-wi-fi-systems/,https://spacenews.com/wp-content/uploads/2025/09/rsz_solstar_wifi-tr_rover_render_05_one_wifi_final.jpg,2025-09-28T22:00:00Z,2025-09-28 22:00:00.000000,"SYDNEY, Australia — Solstar Space announced a NASA contract Sept. 29 to develop commercial Wi-Fi access points for the space agencys Artemis and Commercial Lunar Payload Services (CLPS) programs.
Un… [+2505 chars]",headlines,,69,57,214,32,1,1,2025,9,28,22,Sunday,39,2025-09-28,11,9,General,601,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-9039529506711688676,,Yahoo Entertainment,Reuters,PsiQuantum breaks ground on Chicago quantum site after $1 billion funding,"The site, located at a former U.S. Steel South Works site, will serve as IQMP's anchor tenant and launch with the development of its largest intermediate...",https://finance.yahoo.com/news/psiquantum-breaks-ground-chicago-quantum-170233481.html,https://media.zenfs.com/en/reuters-finance.com/85f32b917ecc72f56617e53e02771381,2025-09-30T17:02:33Z,2025-09-30 17:02:33.000000,"(Reuters) -U.S. quantum computing startup PsiQuantum said on Tuesday it has started the construction of a facility at Chicago's Illinois Quantum and Microelectronics Park (IQMP), as it capitalizes on… [+1400 chars]",headlines,,73,156,214,31,1,1,2025,9,30,17,Tuesday,40,2025-09-30,11,26,General,864,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-8860727738841787687,,NPR,,Germany thrived in the first China Shock. But the next one could prove catastrophic. : Planet Money - NPR,The export-led industrial model that Germany has pursued for decades is now at a crossroads.,https://www.npr.org/sections/planet-money/2025/09/30/g-s1-90937/germany-thrived-in-the-first-china-shock-but-the-next-one-could-prove-catastrophic,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5757x3238+0+61/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fdc%2F00%2Fd955d249411691f0e9dd18983492%2Fgettyimages-1408621420.jpg,2025-09-30T10:30:00Z,2025-09-30 10:30:00.000000,"BERLIN On a cloudy day in mid-September, I biked across Germany's capital to meet up with Oliver Richtberg, a representative of the VDMA, at his organization's annual political conference. The VDMA i… [+17354 chars]",headlines,,105,92,215,34,1,0,2025,9,30,10,Tuesday,40,2025-09-30,19,15,General,872,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-8830742179416019682,,ScienceAlert,Michelle Starr,"Physicists Simulated a Black Hole in The Lab, And It Then Began to Glow - ScienceAlert",A black hole analog could tell us a thing or two about an elusive radiation theoretically emitted by the real thing.,https://www.sciencealert.com/physicists-simulated-a-black-hole-in-the-lab-and-it-then-began-to-glow,https://www.sciencealert.com/images/2022/11/black-hole-art.jpg,2025-09-30T12:01:30Z,2025-09-30 12:01:30.000000,"A black hole analog could tell us a thing or two about an elusive radiation theoretically emitted by the real thing.
Using a chain of atoms in single file to simulate the event horizon of a black ho… [+3552 chars]",headlines,,86,116,214,40,1,1,2025,9,30,12,Tuesday,40,2025-09-30,16,21,General,662,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-8822740298851218389,,Streamingmedia.com,Unknown,Amagi Showcases New AI-Powered Innovations Across Product Lineup at FAST Conference in Los Angeles,"Amagi, a cloud-based SaaS technology solutions provider for broadcast and streaming TV, demonstrated the latest advancements in its product lineup at its annual?FAST Conference?in Los Angeles. The showcase included significant enhancements to?Amagi NOW, i",https://www.streamingmedia.com/PressRelease/Amagi-Showcases-New-AI-Powered-Innovations-Across-Product-Lineup-at-FAST-Conference-in-Los-Angeles_57078.aspx,,2025-09-30T17:00:00Z,2025-09-30 17:00:00.000000,"Amagi, a cloud-based SaaS technology solutions provider for broadcast and streaming TV, demonstrated the latest advancements in its product lineup at its annual FAST Conference in Los Angeles. The sh… [+3785 chars]",headlines,,98,255,214,32,0,0,2025,9,30,17,Tuesday,40,2025-09-30,14,34,AI,231,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-8708891366962052260,,PCWorld,Author: James Barber,TCL D2 Pro Palm Vein Smart Lock review: I feel like a sci-fi movie hero,"At a glance Expert's Rating Pros <ul> <li>Unlocks almost instantly after recognizing an enrolled palm</li> <li>Never failed to recognize a palm</li> <li>Local data storage means it can operate without a Wi-Fi connection</li> <li>Removable, rech…",https://www.pcworld.com/article/2915227/tcl-d2-pro-palm-vein-smart-lock-review.html,https://www.pcworld.com/wp-content/uploads/2025/09/TCL-D2-Pro-exterior-after-installation.jpg?quality=50&strip=all&w=1024,2025-09-30T17:00:00Z,2025-09-30 17:00:00.000000,"Skip to contentWhen you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
At a glance
<ul><li>Unlocks almost instantly after … [+11938 chars]",headlines,,71,245,215,33,1,1,2025,9,30,17,Tuesday,40,2025-09-30,15,34,Entertainment,36,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
-8617699004419957263,,Playlostark.com,Unknown,Lost Ark 2025 Roadmap – Part 4 - Lost Ark,"Catch an early glimpse into the major updates coming throughout the rest of this year, including the Kazeros Raid Prelude, Kazeros Raid: Act 4, and Kazeros Raid Denouement - The Last Day.",https://www.playlostark.com/en-us/news/articles/2025-roadmap-part-4,https://images.ctfassets.net/umhrp0op95v1/GZlf50HNALET81N7xrAWe/76a6c6f058b28a5f44ba375a32a7f6b1/LA_Roadmap_Oct-Dec_Part_4_Final_580x330_EN_CT-000022639.jpg,2025-09-30T08:00:00Z,2025-09-30 08:00:00.000000,"Heroes of Arkesia,
Welcome back to our final roadmap for 2025. We can’t wait for players to finally experience the epic conclusion to the Kazeros storyline, but there are even more major updates to … [+10342 chars]",headlines,,41,187,215,37,1,0,2025,9,30,8,Tuesday,40,2025-09-30,10,32,General,956,2025-10-01 13:21:47.255931,2025-10-01 13:21:47.258944
